inventory_number,album,table,subject,place,is_existing,author,directions,link,id,notes,latitude,longitude
219512,Album 7,77,Inizio del Pubblico Passeggio verso Porta Imolese,Faenza,si,Romolo Liverani,attuale Parco della Rocca,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205370#,205370,,44.28942,11.87452
219591,Album 10bis,26,Strada sotto il Carmine,Faenza,no,Romolo Liverani,attuale tratto di via Lapi,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231979#,231979,,,
219514,Album 7,79,Veduta esterna di Porta Montanara,Faenza,si,Romolo Liverani,attuale viale Marconi,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205373#,205373,,,
219478,Album 7,42,Veduta interna di porta Montanara,Faenza,si,Romolo Liverani,"c.so Matteotti, visibili le arcate del Portico dei pellegrini",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205274#,205274,,,
219493,Album 7,58,Fontanone,Faenza,si,Romolo Liverani,"Caffe sul Pubblico Passeggio",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205305#,205305,,,
219445,Album 7,9,Villa Zavoli detta Serra,Castel Bolognese,si,Romolo Liverani,"Capanno di villa Zavoli detta Serra, fuori Faenza",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205791,205156,,,
219599,Album 10bis,34,"Casa Colonica, Scaletta",Faenza,,,Casa colonica dietro al vicolo detto Scaletta dei Cappuccini prima del rio della Cerchia,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232003#,232003,,,
219604,Album 10bis,39,Oratorio di San Giorgio,Faenza,,Romolo Liverani,Chiesa di San Giorgio fuori la porta delle Chiavi del Borgo Durbecco,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232034#,232034,http://www.historiafaentina.it/Monumenti/oratorio_san_giorgio.html,44.27915,11.90078
219608,Album 10bis,45,Villa Gessi,Faenza,,Romolo Liverani,Chiesina e cancello d'entrata alla villa Gessi a Sarna,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232041,232041,,44.24956,11.84391
219461,Album 7,25,Secondo chiostro dell’Osservanza,Faenza,si,Romolo Liverani,Cimitero,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205209#,205209,,44.28025,11.87193
219510,Album 7,75,Loggiato Infantini,Faenza,si,Romolo Liverani,corso Mazzini angolo via Cavour,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205359#,205359,,,
219483,Album 7,47,Atrio del pubblico Ginnasio,Faenza,si,Romolo Liverani,"cortile Biblioteca",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205115#,205115,,,
219455,Album 7,19,Secondo chiostro dei Servi,Faenza,si,Romolo Liverani,cortile Biblioteca Comunale,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205103#,205103,,44.28433,11.88532
219456,Album 7,20,Primo chiostro dei Servi,Faenza,si,Romolo Liverani,cortile Biblioteca Comunale,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=204985#,204985,,44.28433,11.88532
219199,Album 6,48,Veduta del pozzo nel Convento dei Frati della Osservanza Faenza,Faenza,si,Tancredi Liverani,Cortile dell'Osservanza,,,,44.28025,11.87193
219603,Album 10bis,38,Osservanza,Faenza,,Romolo Liverani,Cortile e portico del pozzo grande nell'ex convento dell'Osservanza,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232024#,232024,,44.28025,11.87193
1235,Album 8,3,Rocca di Brisighella,Brisighella,si,Romolo Liverani,Cortile interno della Rocca di Brisighella,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=230335#,230335,,44.22467,11.77073
219611,Album 10bis,48,Casa dei Zauli Naldi,Faenza,,Romolo Liverani,Cortiletto nella casa dei signori Zauli Naldi detta Casa Vecchia,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232049#,232049,,,
219473,Album 7,37,Esterno di Porta Montanara,Faenza,no,Romolo Liverani,Distrutta nel 1944,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205260#,205260,,,
219490,Album 7,55,Porta Imolese,Faenza,no,Romolo Liverani,distrutta nel 1944,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205301#,205301,   ,44.28942,11.87452
219481,Album 7,46,Porta Ravegnana,Faenza,no,Romolo Liverani,fu demolita nel 1870,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205279#,205279,,,
219443,Album 7,7,Villa Zavoli detta Serra,Castel Bolognese,si,Romolo Liverani,"Giardino della villa Zavoli detta Serra, fuori Faenza",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205146#,205146,,,
219517,Album 11,1,Santa Maria ad Nives,Faenza,si,Romolo Liverani,Il campanile daneggiato durante 1944,,,,,
219210,Album 6,65,Veduta del Fontanone Faenza,Faenza,si,Tancredi Liverani,Il Fontanone,,,,44.2884,11.87161
219128,Album 5,8,Interno di un teatro,Faenza,,Romolo Liverani,Indicato come il teatro di Faenza in vecchio inventario,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=212122#,212122,,44.28554,11.88208
219605,Album 10bis,40,Interno dell'ex chiesa di Santa Croce,Faenza,,Romolo Liverani,Interno dell'ex chiesa di Santa Croce adibita ad osteria di casa Zauli Naldi detta la Pagnocca,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232036#,232036,,44.28464,11.88275
PA1884,Album 14,21,Porta Ponte in Faenza sotto le mura di S. Ippollito,Faenza,,Romolo Liverani,la Porta è distrutta ma riconoscibili le mura,,,,,
219610,Album 10bis,47,Villa dell'avvocato Giovanni Foschi,Faenza,,Romolo Liverani,Laghetto della villa dell'avvocato Giovanni Foschi,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232048#,232048,,,
219497,Album 7,62,Esterno di Porta delle Chiavi,Faenza,no,Romolo Liverani,modificato,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205315#,205315,,,
219226,Album 6,89,"Il monumento al Vescovo Pasi già nel fianco della chiesa dei Servi ed ora all'Osservanza, opera di Pietro Barilotti (incompiuto) senza numero",Faenza,no,Tancredi Liverani,Monumento del vescovo Pasi nella cappella del cimitero  Osservanza,,,,44.28025,11.87193
219218,Album 6,80,Veduta del Mulino Batti Cuccolo Fuori di Faenza,Faenza,no,Tancredi Liverani,Mulino di Batticuccolo ,,,,44.27945,11.87607
219212,Album 6,68,Veduta del Mulino Vecchio di S. Ippolito Faenza come nell'anno 1848,Faenza,no,Tancredi Liverani,Mulino Sant’Ippolito,,,,,
219491,Album 7,56,Veduta esterna di Porta Pia,Faenza,no,Romolo Liverani,"non più esistente",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205302#,205302,,,
219503,Album 7,68,Porta del Quadrone in Borgo,Faenza,no,Romolo Liverani,Non più esistente,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205338#,205338,,,
