id,type,subject,nation,region,province,city,conservation_org,collection,inventory_id,author,measure_height,measure_length,measure_unit,materials,conservation_status,conservation_status_desc,description,notes,acquisition_type,acquisition_resp,acquisition_date,acquisition_place,property,path_image_verso,path_image_recto,begin_date,end_date
231849,disegno,Ponte delle torri di Faenza come si trovava nel 1631,Italia,Emilia-Romagna,RA,Faenza,Biblioteca Comunale Manfrediana,Disegni e acquerelli di Romolo Liverani - Repertorio 9,219568 Album 10 bis - tav. 3,Liverani Romolo,"26,2","35,3",cm.,carta/ matita/ china,buono,Vistosa lacuna sulla parte destra con intervento di velatura. Conservato ripiegato.,Il verso del foglio è di color arancione e reca un piccolo schizzo del ponte.,"L'album al quale appartiene il presente disegno è slegato ed è costituito da 30 fogli con 51 disegni a matita, a penna, a penna acquarellata di formato diverso: nn. 1-3 di cm 27,2 x 21, nn. 3-4 di cm 35 x 26, nn. 5-14 di cm 54 x 41,5, nn. 15-40 di cm 27 x 21, n. 41 di cm 45 x 32, n. 42 di cm 27,5 x 21, n. 43 di cm 32 x 14, nn. 44-48 di cm 27,5 x 21, n. 49 di cm 26,5 x 40, n. 50 di cm 26,5 x 38,5, n. 51 di cm 42,5 x 27,5. Fu acquistato presso la libreria Tonini di Ravenna nel 1991 grazie al contributo della Banca del Monte e Cassa di risparmio di Faenza. Comprende vedute di Faenza e dintorni (Sarna, Ceparano, S. Mamante, Montefortino, Oriolo, Basiago, Rivalta, Castel Raniero, Marzeno) con date comprese tra il 1843 ed il 1866. Spiccano per particolare sensibilità grafica e scioltezza del ductus i disegni a matita (nn. 5-14) che documentano la rovina del ponte in seguito alla piena del Lamone e confermano le qualità di Romolo Liverani.",acquisto,Libreria Tonini,"1985
",Ravenna,Comune di Faenza,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav3-219568-album10bis-r.jpg,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav3-219568-album10bis-v.jpg,1843,1866
206947,disegno,Lunetta con bassorilievo.,Italia,Emilia-Romagna,RA,Faenza,Biblioteca Comunale Manfrediana,Disegni e acquerelli di Romolo Liverani - Repertorio 9,"897 Album 2 - tavv. 85 e 87, dis. 121 e 123",Liverani Romolo,31,"21,5",cm.,carta/ penna/ acquarello,discreto,"Evidenti restauri con carta giapponese ad integrazione delle lacune in corrispondenza dell'angolo superiore sinistro e lungo la piegatura centrale, quest'ultima dovuta alla antica legatura. ",,"Il disegno in origine apparteneva ad un album; tale album, però, durante l'ultimo restauro, ha subito il distacco della coperta e della legatura, ed ora i disegni sono conservati sciolti in una scatola, indicata come album n. 2. La prima parte dell'iscrizione in calce al disegno della lunetta con bassorilievo si riferisce alla tavola n. 88. Sull'altro lato della tavola è raffiugurata una veduta comprendente: il Torrione di Brisighella, la Rocca, il Monticino, Rontana e la Torre di Calamello.",donazione,Arnaldo Minardi,1932,,Comune di Faenza,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_01/897-album2-tav85-86.jpg,,1830,1840
232040,disegno,"Sagrestia della chiesa dell'Osservanza, Faenza",Italia,Emilia-Romagna,RA,Faenza,Biblioteca Comunale Manfrediana,Disegni e acquerelli di Romolo Liverani ,219607 Album 10 bis - tavv. 42-43,Liverani Romolo,21,"27,4",cm.,carta/ matita/ china acquerellata,buono,Lacune lungo il margine destro con interventi di velatura. Conservato unito alla tavola 44 in quanto appartenente allo stesso bifolio. ,L'iscrizione definisce il disegno 42: sagrestia della Chiesa dell'Osservanza di Faenza come nel 1866. Mentre l'iscrizione del disegno 43 riporta le seguenti indicazioni: casino di casa Gessi in Sarna con le sue adiacenze nel 1868. Entrambi i disegni sono incollati al bifolio di supporto.,"L'album al quale appartiene il presente disegno è slegato ed è costituito da 30 fogli con 51 disegni a matita, a penna, a penna acquarellata di formato diverso: nn. 1-3 di cm 27,2 x 21, nn. 3-4 di cm 35 x 26, nn. 5-14 di cm 54 x 41,5, nn. 15-40 di cm 27 x 21, n. 41 di cm 45 x 32, n. 42 di cm 27,5 x 21, n. 43 di cm 32 x 14, nn. 44-48 di cm 27,5 x 21, n. 49 di cm 26,5 x 40, n. 50 di cm 26,5 x 38,5, n. 51 di cm 42,5 x 27,5. Fu acquistato presso la libreria Tonini di Ravenna nel 1991 grazie al contributo della Banca del Monte e Cassa di risparmio di Faenza. Comprende vedute di Faenza e dintorni (Sarna, Ceparano, S. Mamante, Montefortino, Oriolo, Basiago, Rivalta, Castel Raniero, Marzeno) con date comprese tra il 1843 ed il 1866. Spiccano per particolare sensibilità grafica e scioltezza del ductus i disegni a matita (nn. 5-14) che documentano la rovina del ponte in seguito alla piena del Lamone e confermano le qualità di Romolo Liverani.",acquisto,Libreria Tonini,1985,Ravenna,Comune di Faenza,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav42-219607-album10bis-r.jpg,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav43-219607-album10bis-v.jpg,1843,1866
231904,disegno,Ruderi del ponte delle Torri di Faenza dopo la caduta visti dal centro del fiume,Italia,Emilia-Romagna,RA,Faenza,Biblioteca Comunale Manfrediana,Disegni e acquerelli di Romolo Liverani - Repertorio 9,219571 Album 10 bis - tav. 6,Liverani Romolo,"41,5","54,8",cm.,carta/ matita,buono,Vistose lacune su entrambi i lati. Conservato ripiegato.,"Il ponte medievale a tre archi, che aveva sostituito in epoca imprecisata l'antico ponte romano sul fiume Lamone, era caratterizzato da due torri merlate: l'una posta sulla riva sinistra fungeva da porta della città, l'altra collocata sulla pila tra l'arco centrale e quello sulla sponda verso il Borgo d'Urbecco. Il complesso può farsi risalire ai secoli XIII e XIV e aveva subito vari restauri ed interventi. L'ultimo era stato quello del 1777 di G. Pistocchi che, oltre al selciato, aveva rifatto completamente i parapetti, delimitati alle testate, da larghe basi ovali. Negli anni immediatamente seguenti i tetti, che erano posti sopra i merli delle torri, furono rifatti al di sotto degli stessi. I numerosi disegni di Romolo Liverani, che l'ha ripreso da svariati punti di vista, ce ne hanno tramandato l'immagine fedele ed esauriente, sia del ponte nella sua interezza sia dei ruderi dopo il crollo. Il crollo fu dovuto ad una piena nel 1842, e lo stesso Liverani scrive: “14 settembre 1842, giorno fatale per la memorabile piena delle acque condotte nel fiume, di modoche era la fiumana superiore alle archate da 3 Metri e per due ore il ponte stesso chiuso, poi non potendo più reggere allo urto del acqua, sulle 10 e 3/4 della mattina cadde, rovinando la pilla dalla parte della città [...]","L'album al quale appartiene il presente disegno è slegato ed è costituito da 30 fogli con 51 disegni a matita, a penna, a penna acquarellata di formato diverso: nn. 1-3 di cm 27,2 x 21, nn. 3-4 di cm 35 x 26, nn. 5-14 di cm 54 x 41,5, nn. 15-40 di cm 27 x 21, n. 41 di cm 45 x 32, n. 42 di cm 27,5 x 21, n. 43 di cm 32 x 14, nn. 44-48 di cm 27,5 x 21, n. 49 di cm 26,5 x 40, n. 50 di cm 26,5 x 38,5, n. 51 di cm 42,5 x 27,5. Fu acquistato presso la libreria Tonini di Ravenna nel 1991 grazie al contributo della Banca del Monte e Cassa di risparmio di Faenza. Comprende vedute di Faenza e dintorni (Sarna, Ceparano, S. Mamante, Montefortino, Oriolo, Basiago, Rivalta, Castel Raniero, Marzeno) con date comprese tra il 1843 ed il 1866. Spiccano per particolare sensibilità grafica e scioltezza del ductus i disegni a matita (nn. 5-14) che documentano la rovina del ponte in seguito alla piena del Lamone e confermano le qualità di Romolo Liverani.",acquisto,Libreria Tonini,1985,Ravenna,Comune di Faenza,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav6-219571-album10bis-r.jpg,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav6-219571-album10bis-v.jpg,1843,1866
231905,disegno,Ruderi del ponte delle Torri di Faenza visti dal borgo Durbecco,Italia,Emilia-Romagna,RA,Faenza,Biblioteca Comunale Manfrediana,Disegni e acquerelli di Romolo Liverani - Repertorio 9,219572 Album 10 bis - tav. 7,Liverani Romolo,"41,4","54,7",cm.,carta/ matita,buono,Vistose lacune su entrambi i lati. Conservato ripiegato.,"Il ponte medievale a tre archi, che aveva sostituito in epoca imprecisata l'antico ponte romano sul fiume Lamone, era caratterizzato da due torri merlate: l'una posta sulla riva sinistra fungeva da porta della città, l'altra collocata sulla pila tra l'arco centrale e quello sulla sponda verso il Borgo d'Urbecco. Il complesso può farsi risalire ai secoli XIII e XIV e aveva subito vari restauri ed interventi. L'ultimo era stato quello del 1777 di G. Pistocchi che, oltre al selciato, aveva rifatto completamente i parapetti, delimitati alle testate, da larghe basi ovali. Negli anni immediatamente seguenti i tetti, che erano posti sopra i merli delle torri, furono rifatti al di sotto degli stessi. I numerosi disegni di Romolo Liverani, che l'ha ripreso da svariati punti di vista, ce ne hanno tramandato l'immagine fedele ed esauriente, sia del ponte nella sua interezza sia dei ruderi dopo il crollo. Il crollo fu dovuto ad una piena nel 1842, e lo stesso Liverani scrive: “14 settembre 1842, giorno fatale per la memorabile piena delle acque condotte nel fiume, di modoche era la fiumana superiore alle archate da 3 Metri e per due ore il ponte stesso chiuso, poi non potendo più reggere allo urto del acqua, sulle 10 e 3/4 della mattina cadde, rovinando la pilla dalla parte della città [...]","L'album al quale appartiene il presente disegno è slegato ed è costituito da 30 fogli con 51 disegni a matita, a penna, a penna acquarellata di formato diverso: nn. 1-3 di cm 27,2 x 21, nn. 3-4 di cm 35 x 26, nn. 5-14 di cm 54 x 41,5, nn. 15-40 di cm 27 x 21, n. 41 di cm 45 x 32, n. 42 di cm 27,5 x 21, n. 43 di cm 32 x 14, nn. 44-48 di cm 27,5 x 21, n. 49 di cm 26,5 x 40, n. 50 di cm 26,5 x 38,5, n. 51 di cm 42,5 x 27,5. Fu acquistato presso la libreria Tonini di Ravenna nel 1991 grazie al contributo della Banca del Monte e Cassa di risparmio di Faenza. Comprende vedute di Faenza e dintorni (Sarna, Ceparano, S. Mamante, Montefortino, Oriolo, Basiago, Rivalta, Castel Raniero, Marzeno) con date comprese tra il 1843 ed il 1866. Spiccano per particolare sensibilità grafica e scioltezza del ductus i disegni a matita (nn. 5-14) che documentano la rovina del ponte in seguito alla piena del Lamone e confermano le qualità di Romolo Liverani.",acquisto,Libreria Tonini,1985,Ravenna,Comune di Faenza,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav7-219572-album10bis-r.jpg,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav7-219572-album10bis-v.jpg,1843,1866
231908,disegno,Ruderi del ponte delle Torri di Faenza visti dalla porta della città,Italia,Emilia-Romagna,RA,Faenza,Biblioteca Comunale Manfrediana,Disegni e acquerelli di Romolo Liverani - Repertorio 9,219575 Album 10 bis - tav. 10,Liverani Romolo,"41,4","54,8",cm.,carta/ matita,buono,Lacune su entrambi i lati con interventi di velatura. Conservato ripiegato.,"Il ponte medievale a tre archi, che aveva sostituito in epoca imprecisata l'antico ponte romano sul fiume Lamone, era caratterizzato da due torri merlate: l'una posta sulla riva sinistra fungeva da porta della città, l'altra collocata sulla pila tra l'arco centrale e quello sulla sponda verso il Borgo d'Urbecco. Il complesso può farsi risalire ai secoli XIII e XIV e aveva subito vari restauri ed interventi. L'ultimo era stato quello del 1777 di G. Pistocchi che, oltre al selciato, aveva rifatto completamente i parapetti, delimitati alle testate, da larghe basi ovali. Negli anni immediatamente seguenti i tetti, che erano posti sopra i merli delle torri, furono rifatti al di sotto degli stessi. I numerosi disegni di Romolo Liverani, che l'ha ripreso da svariati punti di vista, ce ne hanno tramandato l'immagine fedele ed esauriente, sia del ponte nella sua interezza sia dei ruderi dopo il crollo. Il crollo fu dovuto ad una piena nel 1842, e lo stesso Liverani scrive: “14 settembre 1842, giorno fatale per la memorabile piena delle acque condotte nel fiume, di modoche era la fiumana superiore alle archate da 3 Metri e per due ore il ponte stesso chiuso, poi non potendo più reggere allo urto del acqua, sulle 10 e 3/4 della mattina cadde, rovinando la pilla dalla parte della città [...]","L'album al quale appartiene il presente disegno è slegato ed è costituito da 30 fogli con 51 disegni a matita, a penna, a penna acquarellata di formato diverso: nn. 1-3 di cm 27,2 x 21, nn. 3-4 di cm 35 x 26, nn. 5-14 di cm 54 x 41,5, nn. 15-40 di cm 27 x 21, n. 41 di cm 45 x 32, n. 42 di cm 27,5 x 21, n. 43 di cm 32 x 14, nn. 44-48 di cm 27,5 x 21, n. 49 di cm 26,5 x 40, n. 50 di cm 26,5 x 38,5, n. 51 di cm 42,5 x 27,5. Fu acquistato presso la libreria Tonini di Ravenna nel 1991 grazie al contributo della Banca del Monte e Cassa di risparmio di Faenza. Comprende vedute di Faenza e dintorni (Sarna, Ceparano, S. Mamante, Montefortino, Oriolo, Basiago, Rivalta, Castel Raniero, Marzeno) con date comprese tra il 1843 ed il 1866. Spiccano per particolare sensibilità grafica e scioltezza del ductus i disegni a matita (nn. 5-14) che documentano la rovina del ponte in seguito alla piena del Lamone e confermano le qualità di Romolo Liverani.",acquisto,Libreria Tonini,"1985
",Ravenna,Comune di Faenza,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav10-219575-album10bis-r.jpg,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav10-219575-album10bis-v.jpg,1843,1866
231939,disegno,Ruderi del ponte delle Torri di Faenza visti dalla prima torre del ponte stesso,Italia,Emilia-Romagna,RA,Faenza,Biblioteca Comunale Manfrediana,Disegni e acquerelli di Romolo Liverani - Repertorio 9,219577 Album 10 bis - tav. 12,Liverani Romolo,"41,2","54,8",cm.,carta/ matita,buono,Lacune su entrambi i lati con interventi di velatura. Conservato ripiegato.,"Il ponte medievale a tre archi, che aveva sostituito in epoca imprecisata l'antico ponte romano sul fiume Lamone, era caratterizzato da due torri merlate: l'una posta sulla riva sinistra fungeva da porta della città, l'altra collocata sulla pila tra l'arco centrale e quello sulla sponda verso il Borgo d'Urbecco. Il complesso può farsi risalire ai secoli XIII e XIV e aveva subito vari restauri ed interventi. L'ultimo era stato quello del 1777 di G. Pistocchi che, oltre al selciato, aveva rifatto completamente i parapetti, delimitati alle testate, da larghe basi ovali. Negli anni immediatamente seguenti i tetti, che erano posti sopra i merli delle torri, furono rifatti al di sotto degli stessi. I numerosi disegni di Romolo Liverani, che l'ha ripreso da svariati punti di vista, ce ne hanno tramandato l'immagine fedele ed esauriente, sia del ponte nella sua interezza sia dei ruderi dopo il crollo. Il crollo fu dovuto ad una piena nel 1842, e lo stesso Liverani scrive: “14 settembre 1842, giorno fatale per la memorabile piena delle acque condotte nel fiume, di modoche era la fiumana superiore alle archate da 3 Metri e per due ore il ponte stesso chiuso, poi non potendo più reggere allo urto del acqua, sulle 10 e 3/4 della mattina cadde, rovinando la pilla dalla parte della città [...]","L'album al quale appartiene il presente disegno è slegato ed è costituito da 30 fogli con 51 disegni a matita, a penna, a penna acquarellata di formato diverso: nn. 1-3 di cm 27,2 x 21, nn. 3-4 di cm 35 x 26, nn. 5-14 di cm 54 x 41,5, nn. 15-40 di cm 27 x 21, n. 41 di cm 45 x 32, n. 42 di cm 27,5 x 21, n. 43 di cm 32 x 14, nn. 44-48 di cm 27,5 x 21, n. 49 di cm 26,5 x 40, n. 50 di cm 26,5 x 38,5, n. 51 di cm 42,5 x 27,5. Fu acquistato presso la libreria Tonini di Ravenna nel 1991 grazie al contributo della Banca del Monte e Cassa di risparmio di Faenza. Comprende vedute di Faenza e dintorni (Sarna, Ceparano, S. Mamante, Montefortino, Oriolo, Basiago, Rivalta, Castel Raniero, Marzeno) con date comprese tra il 1843 ed il 1866. Spiccano per particolare sensibilità grafica e scioltezza del ductus i disegni a matita (nn. 5-14) che documentano la rovina del ponte in seguito alla piena del Lamone e confermano le qualità di Romolo Liverani.",acquisto,Libreria Tonini,1985,Ravenna,Comune di Faenza,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav12-219577-album10bis-r.jpg,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav12-219577-album10bis-v.jpg,1843,1866
231940,disegno,Ruderi del ponte delle Torri di Faenza visti dalla strada del borgo Durbecco,Italia,Emilia-Romagna,RA,Faenza,Biblioteca Comunale Manfrediana,Disegni e acquerelli di Romolo Liverani - Repertorio 9,219578 Album 10 bis - tav. 13,Liverani Romolo,"40,6","54,4",cm.,carta/ matita,buono,Lacune su entrambi i lati con interventi di velatura. Conservato ripiegato.,"Il ponte medievale a tre archi, che aveva sostituito in epoca imprecisata l'antico ponte romano sul fiume Lamone, era caratterizzato da due torri merlate: l'una posta sulla riva sinistra fungeva da porta della città, l'altra collocata sulla pila tra l'arco centrale e quello sulla sponda verso il Borgo d'Urbecco. Il complesso può farsi risalire ai secoli XIII e XIV e aveva subito vari restauri ed interventi. L'ultimo era stato quello del 1777 di G. Pistocchi che, oltre al selciato, aveva rifatto completamente i parapetti, delimitati alle testate, da larghe basi ovali. Negli anni immediatamente seguenti i tetti, che erano posti sopra i merli delle torri, furono rifatti al di sotto degli stessi. I numerosi disegni di Romolo Liverani, che l'ha ripreso da svariati punti di vista, ce ne hanno tramandato l'immagine fedele ed esauriente, sia del ponte nella sua interezza sia dei ruderi dopo il crollo. Il crollo fu dovuto ad una piena nel 1842, e lo stesso Liverani scrive: “14 settembre 1842, giorno fatale per la memorabile piena delle acque condotte nel fiume, di modoche era la fiumana superiore alle archate da 3 Metri e per due ore il ponte stesso chiuso, poi non potendo più reggere allo urto del acqua, sulle 10 e 3/4 della mattina cadde, rovinando la pilla dalla parte della città [...]","L'album al quale appartiene il presente disegno è slegato ed è costituito da 30 fogli con 51 disegni a matita, a penna, a penna acquarellata di formato diverso: nn. 1-3 di cm 27,2 x 21, nn. 3-4 di cm 35 x 26, nn. 5-14 di cm 54 x 41,5, nn. 15-40 di cm 27 x 21, n. 41 di cm 45 x 32, n. 42 di cm 27,5 x 21, n. 43 di cm 32 x 14, nn. 44-48 di cm 27,5 x 21, n. 49 di cm 26,5 x 40, n. 50 di cm 26,5 x 38,5, n. 51 di cm 42,5 x 27,5. Fu acquistato presso la libreria Tonini di Ravenna nel 1991 grazie al contributo della Banca del Monte e Cassa di risparmio di Faenza. Comprende vedute di Faenza e dintorni (Sarna, Ceparano, S. Mamante, Montefortino, Oriolo, Basiago, Rivalta, Castel Raniero, Marzeno) con date comprese tra il 1843 ed il 1866. Spiccano per particolare sensibilità grafica e scioltezza del ductus i disegni a matita (nn. 5-14) che documentano la rovina del ponte in seguito alla piena del Lamone e confermano le qualità di Romolo Liverani.",acquisto,Libreria Tonini,1985,Ravenna,Comune di Faenza,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav13-219578-album10bis-r.jpg,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav13-219578-album10bis-v.jpg,1843,1866
231948,disegno,Ruderi del ponte delle Torri di Faenza visti dal rivalino del fiume,Italia,Emilia-Romagna,RA,Faenza,Biblioteca Comunale Manfrediana,Disegni e acquerelli di Romolo Liverani - Repertorio 9,219579 Album 10 bis - tav. 14,Liverani Romolo,"41,4","54,7",cm.,carta/ matita,buono,Lacune su entrambi i lati con interventi di velatura. Conservato ripiegato e incollato alla tavola 15,"Il ponte medievale a tre archi, che aveva sostituito in epoca imprecisata l'antico ponte romano sul fiume Lamone, era caratterizzato da due torri merlate: l'una posta sulla riva sinistra fungeva da porta della città, l'altra collocata sulla pila tra l'arco centrale e quello sulla sponda verso il Borgo d'Urbecco. Il complesso può farsi risalire ai secoli XIII e XIV e aveva subito vari restauri ed interventi. L'ultimo era stato quello del 1777 di G. Pistocchi che, oltre al selciato, aveva rifatto completamente i parapetti, delimitati alle testate, da larghe basi ovali. Negli anni immediatamente seguenti i tetti, che erano posti sopra i merli delle torri, furono rifatti al di sotto degli stessi. I numerosi disegni di Romolo Liverani, che l'ha ripreso da svariati punti di vista, ce ne hanno tramandato l'immagine fedele ed esauriente, sia del ponte nella sua interezza sia dei ruderi dopo il crollo. Il crollo fu dovuto ad una piena nel 1842, e lo stesso Liverani scrive: “14 settembre 1842, giorno fatale per la memorabile piena delle acque condotte nel fiume, di modoche era la fiumana superiore alle archate da 3 Metri e per due ore il ponte stesso chiuso, poi non potendo più reggere allo urto del acqua, sulle 10 e 3/4 della mattina cadde, rovinando la pilla dalla parte della città [...]","L'album al quale appartiene il presente disegno è slegato ed è costituito da 30 fogli con 51 disegni a matita, a penna, a penna acquarellata di formato diverso: nn. 1-3 di cm 27,2 x 21, nn. 3-4 di cm 35 x 26, nn. 5-14 di cm 54 x 41,5, nn. 15-40 di cm 27 x 21, n. 41 di cm 45 x 32, n. 42 di cm 27,5 x 21, n. 43 di cm 32 x 14, nn. 44-48 di cm 27,5 x 21, n. 49 di cm 26,5 x 40, n. 50 di cm 26,5 x 38,5, n. 51 di cm 42,5 x 27,5. Fu acquistato presso la libreria Tonini di Ravenna nel 1991 grazie al contributo della Banca del Monte e Cassa di risparmio di Faenza. Comprende vedute di Faenza e dintorni (Sarna, Ceparano, S. Mamante, Montefortino, Oriolo, Basiago, Rivalta, Castel Raniero, Marzeno) con date comprese tra il 1843 ed il 1866. Spiccano per particolare sensibilità grafica e scioltezza del ductus i disegni a matita (nn. 5-14) che documentano la rovina del ponte in seguito alla piena del Lamone e confermano le qualità di Romolo Liverani.",acquisto,Libreria Tonini,1985,Ravenna,Comune di Faenza,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav14-219579-album10bis-r.jpg,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav14-219579-album10bis-v.jpg,1843,1866
231949,disegno,"Portico della chiesa dell'Osservanza, Faenza",Italia,Emilia-Romagna,RA,Faenza,Biblioteca Comunale Manfrediana,Disegni e acquerelli di Romolo Liverani - Repertorio 9,219580 Album 10 bis - tav. 15,Liverani Romolo,"21,3","27,5",cm.,carta/ china acquerellata,buono,Lacune sul lato destro con interventi di velatura. Conservato ripiegato e incollato alla tavola 14,,"L'album al quale appartiene il presente disegno è slegato ed è costituito da 30 fogli con 51 disegni a matita, a penna, a penna acquarellata di formato diverso: nn. 1-3 di cm 27,2 x 21, nn. 3-4 di cm 35 x 26, nn. 5-14 di cm 54 x 41,5, nn. 15-40 di cm 27 x 21, n. 41 di cm 45 x 32, n. 42 di cm 27,5 x 21, n. 43 di cm 32 x 14, nn. 44-48 di cm 27,5 x 21, n. 49 di cm 26,5 x 40, n. 50 di cm 26,5 x 38,5, n. 51 di cm 42,5 x 27,5. Fu acquistato presso la libreria Tonini di Ravenna nel 1991 grazie al contributo della Banca del Monte e Cassa di risparmio di Faenza. Comprende vedute di Faenza e dintorni (Sarna, Ceparano, S. Mamante, Montefortino, Oriolo, Basiago, Rivalta, Castel Raniero, Marzeno) con date comprese tra il 1843 ed il 1866. Spiccano per particolare sensibilità grafica e scioltezza del ductus i disegni a matita (nn. 5-14) che documentano la rovina del ponte in seguito alla piena del Lamone e confermano le qualità di Romolo Liverani.",acquisto,Libreria Tonini,1985,Ravenna,Comune di Faenza,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav15-219580-album10bis-r.jpg,https://bbcc.regione.emilia-romagna.it/pater/data/ravenna/lc-00112/lc-00112_11/tav15-219580-album10bis-v.jpg,1843,1866
